station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBGR,2025-01-25 23:36,71.60,68.00,88.43,50.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 252336Z 05005KT CAVOK 22/20 Q1016 RETSRA WS R10R,M
SBGR,2025-01-26 00:00,71.60,68.00,88.43,70.00,7.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 260000Z 07007KT CAVOK 22/20 Q1016 RETSRA,M
SBAN,2025-01-26 00:00,68.00,66.20,93.97,350.00,2.00,0.00,30.06,M,6.21,M,FEW,FEW,M,M,4000.00,4500.00,M,M,VCTS,M,M,M,M,M,M,68.00,SBAN 260000Z 35002KT 9999 VCTS FEW040 FEW045CB 20/19 Q1018,M
SBAN,2025-01-26 01:00,69.80,66.20,88.34,40.00,4.00,0.00,30.12,M,6.21,M,SCT,FEW,M,M,4000.00,4500.00,M,M,VCTS,M,M,M,M,M,M,69.80,SBAN 260100Z 04004KT 9999 VCTS SCT040 FEW045CB 21/19 Q1020,M
SBGR,2025-01-26 01:00,71.60,68.00,88.43,90.00,10.00,0.00,30.03,M,6.21,M,SCT,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 260100Z 09010KT 9999 SCT045 22/20 Q1017,M
SBAN,2025-01-26 02:00,71.60,64.40,78.04,70.00,3.00,0.00,30.12,M,6.21,M,SCT,FEW,M,M,4000.00,4500.00,M,M,VCTS,M,M,M,M,M,M,71.60,SBAN 260200Z 07003KT 9999 VCTS SCT040 FEW045CB 22/18 Q1020,M
SBGR,2025-01-26 02:00,69.80,68.00,94.01,80.00,8.00,0.00,30.03,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 260200Z 08008KT 9999 FEW045 21/20 Q1017,M
SBGR,2025-01-26 03:00,69.80,68.00,94.01,70.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 260300Z 07006KT CAVOK 21/20 Q1017,M
SBAN,2025-01-26 03:00,68.00,66.20,93.97,40.00,2.00,0.00,30.12,M,6.21,M,SCT,FEW,M,M,4000.00,4500.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 260300Z 04002KT 9999 SCT040 FEW045TCU 20/19 Q1020,M
SBAN,2025-01-26 04:00,71.60,64.40,78.04,70.00,3.00,0.00,30.12,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,71.60,SBAN 260400Z 07003KT 9999 FEW040 22/18 Q1020,M
SBGR,2025-01-26 04:00,71.60,68.00,88.43,180.00,7.00,0.00,30.06,M,6.21,M,BKN,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 260400Z 18007KT 9999 BKN011 22/20 Q1018,M
SBAN,2025-01-26 05:00,68.00,64.40,88.26,70.00,4.00,0.00,30.09,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,68.00,SBAN 260500Z 07004KT 9999 FEW040 20/18 Q1019,M
SBGR,2025-01-26 05:00,71.60,68.00,88.43,260.00,1.00,0.00,30.03,M,6.21,M,BKN,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 260500Z 26001KT 9999 BKN030 22/20 Q1017,M
SBAN,2025-01-26 06:00,68.00,68.00,100.00,330.00,4.00,0.00,30.09,M,6.21,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,68.00,SBAN 260600Z 33004KT 9999 SCT040 20/20 Q1019,M
SBGR,2025-01-26 06:00,71.60,68.00,88.43,320.00,3.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,71.60,SBGR 260600Z 32003KT 9999 -RA NSC 22/20 Q1016,M
SBGR,2025-01-26 07:00,71.60,69.80,94.06,350.00,2.00,0.00,29.97,M,6.21,M,NSC,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,71.60,SBGR 260700Z 35002KT 9999 -RA NSC 22/21 Q1015,M
SBAN,2025-01-26 07:00,69.80,64.40,82.98,30.00,4.00,0.00,30.09,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,69.80,SBAN 260700Z 03004KT 9999 FEW040 21/18 Q1019,M
SBAN,2025-01-26 08:00,68.00,66.20,93.97,100.00,4.00,0.00,30.09,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,68.00,SBAN 260800Z 10004KT 9999 FEW040 20/19 Q1019,M
SBGR,2025-01-26 08:00,71.60,68.00,88.43,10.00,5.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 260800Z 01005KT CAVOK 22/20 Q1015,M
SBGR,2025-01-26 09:00,69.80,68.00,94.01,140.00,2.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 260900Z 14002KT CAVOK 21/20 Q1016,M
SBAN,2025-01-26 09:00,66.20,66.20,100.00,280.00,4.00,0.00,30.12,M,0.56,M,BKN,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,66.20,SBAN 260900Z 28004KT 0900 R24R/0250U R06L/0400U FG BKN002 19/19 Q1020,M
